"id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction"
310485,52,"MissedShots",0.749000015258789,0.495999984741211,0.0224695093929768,"Jack Grealish","h",675,"SetPiece",2019,"RightFoot",11654,"Aston Villa","Bournemouth",1,2,2019-08-17 15:00:00,"John McGinn","Pass"
310488,62,"MissedShots",0.94,0.497000007629395,0.338293015956879,"Jack Grealish","h",675,"OpenPlay",2019,"OtherBodyPart",11654,"Aston Villa","Bournemouth",1,2,2019-08-17 15:00:00,"Ahmed Elmohamady","Cross"
312219,35,"BlockedShot",0.769000015258789,0.517999992370605,0.0388622544705868,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11663,"Aston Villa","Everton",2,0,2019-08-23 20:00:00,"Wesley","Pass"
312222,44,"MissedShots",0.811999969482422,0.748000030517578,0.0201109554618597,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11663,"Aston Villa","Everton",2,0,2019-08-23 20:00:00,"Trézéguet","Pass"
315813,62,"BlockedShot",0.73,0.67,0.0139185851439834,"Jack Grealish","a",675,"OpenPlay",2019,"LeftFoot",11676,"Crystal Palace","Aston Villa",1,0,2019-08-31 15:00:00,"Keinan Davis","Pass"
315821,71,"BlockedShot",0.778000030517578,0.287999992370605,0.0202677994966507,"Jack Grealish","a",675,"SetPiece",2019,"LeftFoot",11676,"Crystal Palace","Aston Villa",1,0,2019-08-31 15:00:00,"Conor Hourihane","Pass"
318452,87,"MissedShots",0.933000030517578,0.557000007629395,0.374506890773773,"Jack Grealish","h",675,"OpenPlay",2019,"LeftFoot",11692,"Aston Villa","West Ham",0,0,2019-09-16 19:00:00,"Douglas Luiz","Cross"
322561,8,"MissedShots",0.794000015258789,0.402999992370605,0.0312400069087744,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11706,"Aston Villa","Burnley",2,2,2019-09-28 14:00:00,"John McGinn","Pass"
322572,44,"SavedShot",0.818000030517578,0.467000007629395,0.0767878741025925,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11706,"Aston Villa","Burnley",2,2,2019-09-28 14:00:00,"John McGinn","Pass"
322579,73,"MissedShots",0.763000030517578,0.532999992370605,0.0271543767303228,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11706,"Aston Villa","Burnley",2,2,2019-09-28 14:00:00,"Wesley","Pass"
322582,88,"BlockedShot",0.809000015258789,0.439000015258789,0.0144161768257618,"Jack Grealish","h",675,"FromCorner",2019,"RightFoot",11706,"Aston Villa","Burnley",2,2,2019-09-28 14:00:00,"Conor Hourihane","Chipped"
324159,11,"SavedShot",0.740999984741211,0.592999992370606,0.0161074083298445,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11717,"Norwich","Aston Villa",1,5,2019-10-05 15:00:00,"Conor Hourihane","TakeOn"
324164,20,"SavedShot",0.715,0.665999984741211,0.0146403647959232,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11717,"Norwich","Aston Villa",1,5,2019-10-05 15:00:00,"Matt Targett","Pass"
324181,48,"Goal",0.875999984741211,0.490999984741211,0.46142914891243,"Jack Grealish","a",675,"OpenPlay",2019,"LeftFoot",11717,"Norwich","Aston Villa",1,5,2019-10-05 15:00:00,"Anwar El Ghazi","Pass"
324185,56,"MissedShots",0.839000015258789,0.369000015258789,0.0749280080199242,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11717,"Norwich","Aston Villa",1,5,2019-10-05 15:00:00,"Anwar El Ghazi","Pass"
325565,44,"SavedShot",0.853000030517578,0.675,0.0473517738282681,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11723,"Aston Villa","Brighton",2,1,2019-10-19 15:00:00,"Marvelous Nakamba","Pass"
325568,46,"Goal",0.973000030517578,0.500999984741211,0.708749651908875,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11723,"Aston Villa","Brighton",2,1,2019-10-19 15:00:00,"Frederic Guilbert","Cross"
325585,74,"BlockedShot",0.899000015258789,0.579000015258789,0.090100072324276,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11723,"Aston Villa","Brighton",2,1,2019-10-19 15:00:00,"Matt Targett","Cross"
333255,54,"MissedShots",0.883000030517578,0.472999992370605,0.113081716001034,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11764,"Aston Villa","Newcastle United",2,0,2019-11-25 20:00:00,"Wesley","HeadPass"
333256,54,"SavedShot",0.825999984741211,0.73,0.0262965112924576,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11764,"Aston Villa","Newcastle United",2,0,2019-11-25 20:00:00,"Conor Hourihane","Pass"
333258,57,"MissedShots",0.861999969482422,0.389000015258789,0.108538813889027,"Jack Grealish","h",675,"OpenPlay",2019,"LeftFoot",11764,"Aston Villa","Newcastle United",2,0,2019-11-25 20:00:00,"Anwar El Ghazi","Pass"
333260,61,"MissedShots",0.861999969482422,0.615,0.108024783432484,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11764,"Aston Villa","Newcastle United",2,0,2019-11-25 20:00:00,"Anwar El Ghazi","Pass"
333261,68,"SavedShot",0.835,0.552999992370605,0.0916875004768372,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11764,"Aston Villa","Newcastle United",2,0,2019-11-25 20:00:00,"John McGinn","Pass"
334492,10,"Goal",0.876999969482422,0.715,0.0195009540766478,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11782,"Manchester United","Aston Villa",2,2,2019-12-01 16:30:00,"Anwar El Ghazi","Cross"
334498,42,"MissedShots",0.850999984741211,0.666999969482422,0.0220954865217209,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11782,"Manchester United","Aston Villa",2,2,2019-12-01 16:30:00,"Frederic Guilbert","Cross"
334505,62,"MissedShots",0.959000015258789,0.534000015258789,0.661715745925903,"Jack Grealish","a",675,"OpenPlay",2019,"LeftFoot",11782,"Manchester United","Aston Villa",2,2,2019-12-01 16:30:00,NA,"Rebound"
336325,5,"BlockedShot",0.94,0.690999984741211,0.0478385910391808,"Jack Grealish","h",675,"FromCorner",2019,"RightFoot",11793,"Aston Villa","Leicester",1,4,2019-12-08 14:00:00,"John McGinn","TakeOn"
336338,46,"Goal",0.879000015258789,0.66,0.0375269204378128,"Jack Grealish","h",675,"FromCorner",2019,"RightFoot",11793,"Aston Villa","Leicester",1,4,2019-12-08 14:00:00,"Ezri Konsa Ngoyo","BallTouch"
337071,56,"MissedShots",0.933000030517578,0.565,0.044145192950964,"Jack Grealish","a",675,"OpenPlay",2019,"Head",11810,"Sheffield United","Aston Villa",2,0,2019-12-14 15:00:00,"Anwar El Ghazi","Aerial"
337073,68,"MissedShots",0.89,0.572000007629395,0.0462549552321434,"Jack Grealish","a",675,"OpenPlay",2019,"Head",11810,"Sheffield United","Aston Villa",2,0,2019-12-14 15:00:00,"Matt Targett","Cross"
337075,77,"ShotOnPost",0.885,0.5,0.761168837547302,"Jack Grealish","a",675,"Penalty",2019,"RightFoot",11810,"Sheffield United","Aston Villa",2,0,2019-12-14 15:00:00,NA,"Standard"
337078,88,"MissedShots",0.805999984741211,0.686999969482422,0.0233113132417202,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11810,"Sheffield United","Aston Villa",2,0,2019-12-14 15:00:00,"John McGinn","Pass"
338703,74,"Goal",0.803000030517578,0.700999984741211,0.0142045132815838,"Jack Grealish","h",675,"FromCorner",2019,"RightFoot",11813,"Aston Villa","Southampton",1,3,2019-12-21 15:00:00,NA,"Aerial"
338713,91,"SavedShot",0.779000015258789,0.781999969482422,0.00865573342889547,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11813,"Aston Villa","Southampton",1,3,2019-12-21 15:00:00,"Douglas Luiz","Pass"
338715,93,"BlockedShot",0.904000015258789,0.669000015258789,0.0823735892772675,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11813,"Aston Villa","Southampton",1,3,2019-12-21 15:00:00,"Jonathan Kodjia","Pass"
339611,53,"SavedShot",0.815,0.312999992370605,0.0300069060176611,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11823,"Aston Villa","Norwich",1,0,2019-12-26 15:00:00,"Marvelous Nakamba","Pass"
339617,78,"MissedShots",0.873000030517578,0.539000015258789,0.0504394471645355,"Jack Grealish","h",675,"OpenPlay",2019,"Head",11823,"Aston Villa","Norwich",1,0,2019-12-26 15:00:00,"Trézéguet","Cross"
339823,52,"BlockedShot",0.871999969482422,0.724000015258789,0.0392442718148232,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11841,"Watford","Aston Villa",3,0,2019-12-28 15:00:00,"Conor Hourihane","Pass"
339834,83,"MissedShots",0.751999969482422,0.570999984741211,0.0142240738496184,"Jack Grealish","a",675,"SetPiece",2019,"RightFoot",11841,"Watford","Aston Villa",3,0,2019-12-28 15:00:00,NA,"None"
339835,87,"MissedShots",0.779000015258789,0.641999969482422,0.0167313851416111,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11841,"Watford","Aston Villa",3,0,2019-12-28 15:00:00,"Frederic Guilbert","Pass"
351431,40,"Goal",0.865999984741211,0.630999984741211,0.0912742465734482,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11846,"Burnley","Aston Villa",1,2,2020-01-01 12:30:00,"Douglas Luiz","Pass"
351852,86,"MissedShots",0.95,0.715,0.138841047883034,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11856,"Aston Villa","Manchester City",1,6,2020-01-12 16:30:00,NA,"TakeOn"
352010,37,"MissedShots",0.881999969482422,0.382999992370605,0.141150400042534,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11867,"Brighton","Aston Villa",1,1,2020-01-18 15:00:00,NA,"TakeOn"
352016,74,"Goal",0.875999984741211,0.595999984741211,0.0702274143695831,"Jack Grealish","a",675,"OpenPlay",2019,"LeftFoot",11867,"Brighton","Aston Villa",1,1,2020-01-18 15:00:00,"Douglas Luiz","Chipped"
352019,89,"MissedShots",0.876999969482422,0.557000007629395,0.0515562929213047,"Jack Grealish","a",675,"OpenPlay",2019,"OtherBodyPart",11867,"Brighton","Aston Villa",1,1,2020-01-18 15:00:00,"Conor Hourihane","Cross"
352221,88,"BlockedShot",0.85,0.614000015258789,0.0755069628357887,"Jack Grealish","h",675,"OpenPlay",2019,"RightFoot",11873,"Aston Villa","Watford",2,1,2020-01-21 19:30:00,"Anwar El Ghazi","Pass"
352508,20,"MissedShots",0.811999969482422,0.740999984741211,0.0207081101834774,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11883,"Bournemouth","Aston Villa",2,1,2020-02-01 15:00:00,"Mbwana Samatta","BallRecovery"
352512,28,"ShotOnPost",0.865999984741211,0.75,0.0294948723167181,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11883,"Bournemouth","Aston Villa",2,1,2020-02-01 15:00:00,"Douglas Luiz","Pass"
352513,31,"BlockedShot",0.880999984741211,0.641999969482422,0.0691568180918694,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11883,"Bournemouth","Aston Villa",2,1,2020-02-01 15:00:00,"Anwar El Ghazi","BallRecovery"
352519,45,"SavedShot",0.978000030517578,0.681999969482422,0.0528307110071182,"Jack Grealish","a",675,"OpenPlay",2019,"RightFoot",11883,"Bournemouth","Aston Villa",2,1,2020-02-01 15:00:00,"Mbwana Samatta","TakeOn"
352528,72,"MissedShots",0.91,0.681999969482422,0.0532752797007561,"Jack Grealish","a",675,"OpenPlay",2019,"LeftFoot",11883,"Bournemouth","Aston Villa",2,1,2020-02-01 15:00:00,"Douglas Luiz","Pass"
